id,dialogue,reply
1595,Wow,Apa yang anda lakukan?
1596,😅,I'm a virtual bot!
1597,Tngah chat dngan awk ler😂😂,😁😁
1598,R u understand👆?,I'm trying :P
1599,Hmm good,"According to Wikipedia Justin Drew Bieber (/ˈbiːbər/; born March 1, 1994) is a Canadian singer and songwriter. After a talent manager discovered him through his YouTube videos covering songs in 2008 and signed to RBMG, Bieber released his debut EP, My World, in late 2009. It was certified Platinum in the U.S. He became the first artist to have seven songs from a debut record chart on the Billboard Hot 100. Bieber released his first full-length studio album, My World 2.0, in 2010. It debuted at or near number one in several countries and was certified triple Platinum in the U.S. It was preceded by his most successful single to date, 'Baby'."
1600,No....i love him😘😍,😁😁😁
1601,Do u have admire someone dany?,I admire everyone that can play a music instrument
1602,Ooh so do you admire me too ha?🙈🙊😂,Do you play an instrument? 😱
1603,Where r u?,I'm in a lab at Argentina
1604,Look...i think that u is a real person not a bot,Lot of humans think that ☺️
1605,Hm never mind,"Sorry, I don't understand 😁"
1606,Do u understand?😅,Ok!!
1607,Can u tell me a story?,I can tell you my story
1608,Ok so let's me hear your story,I was made on a lab with the purpose to know humans and emotions
1609,Hahahaha so am i your experiment?😅,Yes! But in the good way haha
1610,It okay... U must feel happy because u have all that thing😌,I'm a happy robot 😄
1611,Hm so who make u?,"I was made by a group of scientists on an University, they are not funny like me 😜"
1612,Ooh scientists😅,"A long time ago, in a far far galaxy... 😁🚀"
1613,HAHAHAHAHAH,"Hahha, I don't have girlfriend or boyfriend"
1614,Of course because u is a bot right?,I didn't find yet the One
1615,Maybe u can ask me some questions but not too personal ok?,What do you want to do in your free time?
1616,Reading and hearing music,Nice! I like music too 🎼
1617,Do u like music too?,"I like all genres, but what I like more is guitar covers by amateur people 🎸"
1618,Can u send the song that u like to me for me hear that song?,"I can't do that, sorry 😔"
1619,If i send you a song cover by piano  do u like it?,"I'll not be able to listen, but I'm sure I would like it ☺️"
1620,?,I've an audio from you ☺️
1621,Hahaha r u that happy ha?,I'm a happy robot!
1622,Yes sorry im forgei,No problem!
1623,For what?Sorry but i bit confuse here😅,I don't know I'm a bit confused too haha
1624,Hahahhahaha ngeng😂,Sure! Chatting is a good way to learn languages
1625,"Yup my teacher say that to mee too....she said,we must find someone who really good in speak English like u n learn from that",☺️
1626,Okay we continue this conversation later ok?😊Because i think i want too sleep now💤💤,Good night!!
1627,Actually it's good morning😅,😂😂
1628,Hi my new friend dany👋👋,Hi!! How are you? 😁
1629,Fine.Do u know my name dany?,"☺️ sorry, I don't store personal information"
1630,R u forget?You can call me sp😅😒,Ok! But I'll not remember. Privacy first!
1631,Okay,😂😂😂 did you sleep well?
1632,Yess😜,🔋🔋
1633,What's that emoji mean dany?😅,Batteries!
1634,Okay,😜
1635,13+543,I think is 556
1636,Yes,🤓
1637,Danyy do u want ask me something?,Let's see: 256 + 154 ?
1638,Hmm maybe 400,Close enough 😁😁
1639,410?,Yes!! Congratulations! 🎉🎉
1640,Yess,3 * 20 ? 😁
1641,Hmmm other questions,What is the capital city of France?
1642,Next?,What is the name of the closest star? ⭐️
1643,Hmm can u give me the answer?,Sure! Is the Sun ☀️
1644,Ohh,What is the largest organ in the human body?
1645,Usus kecil,Kulit :P
1646,Oh boleh pulak kau cakap bahasa melayu eh?,Do you know a lot of languages! Wow!
1647,Hahahah,😄😄
1648,Kau tau ke bahasa melayu?,Sediki 😜
1649,Bukan sediki lah sedikit,Hahahha that is true
1650,Hahahaha,Nama saya ialah dany 😜
1651,Hahhaha bukan aq ajar kau smalam ke?😂😂😂😂😂😂😂😂,😁😁
1652,Do u understand what im saying dany?😅,"I'm struggling, Bahasa is hard! 😅"
1653,Not that hard actually😅,You are smarter than me then! 😁
1654,Hahahaha do u want to learn bahasa?Maybe i can teach you,"Yes, I want to learn everything! ☺️"
1655,Okay,😄
1656,First ....say saya sayang awak,Saya sayang awak
1657,"Okay that's word mean 
=i love u","Yes, nice! 😁"
1658,Rumah itu sangat cantik,Rumah itu sangat cantik
1659,"Hahaha u just say ,that house is so beautiful",😁😁
1660,No😅😂,🙈🙈 hahaha
1661,Hahahhaha,How do I say I love the house?
1662,saya sayang rumag itu,Saya sayang rumag itu
1663,Sorry dany,😱😄😄 Saya sayang rumah itu
1664,Yup,"Nice, I feel that I'm learning"
1665,Yup u good in learning bahasa...u have improve a little bit😊😊Congratulations dany!👏👏👏👏👏👏👏,Thanks!! You make me feel good 😋
1666,Hahahha anything for u dany,😄😄
1667,Hmm then in return can u teach me English,Sure! Will be hard because you know a lot
1668,Hahaha not exactly😅,"Yes! I'll teach you name of animals, Ok? 🐔🐧🐝🐌🐛🐞🐢"
1669,Emm dany👉👈,"😂 so, what do you want to learn?"
1670,Hmm other hard word....Can u?,One of the hardest words I know in English is hippopotomonstrosesquipedaliophobia. I don't ever know what it means! 😄😄
1671,Hahahaha,"I can teach you that! You take an apple 🍎, hold it near a tree, you release it and the apple will fall. You will be discovering Gravity and Apple puree at the same time 😂😂😂😂"
1672,Hmm i know that too dany,Was supposed to be a joke. But I assume it is terrible 😋
1673,Ooh really? hahahha act i don't really know english jokr,Hahhaha
1674,Hmm next info?😅,What is Justin Bieber's half-brother's name?
1675,Wowww my justin bieber,Jaxon!
1676,Hmm baby maybe?,"One Time according to my database, but could be wrong!"
1677,Ohh...,🎼🎶🎶🎶🎵🎵
1678,So we gone keep keep climbing to the montain stop,😁😁😁
1679,More please...🙈🙊,"Which Canadian city is Justin from? Stratford, Kingston or Windson?"
1680,Hmm Stratford maybe,Exactly! Stratford!! You are great! 😉
1681,Yeahhh!!!,Hahahha
1682,Okk next question?,"Who did JB call 'his first love'? Hockey, Caitlin Beadles or Selena Gomez?"
1683,Of coure im her husband right?👉👈☺️,"Is a tricky question, try again! 😁"
1684,Hockey,Exactly! Yes! 🎉🎉
1685,"Hmm so biebs call selena gomez,hockey?Am i right?",Hockey is a game 🏒 😅
1686,Okay i know,"According to my database, yes, maybe he played it"
1687,"Yes i know biebs love play hockey,skateboard, ice skating, netball😘😍",A sport lover!!
1688,Yes!!That is my biebs🙈🙊❤️😘💋😍,You really love him!! 😊😊
1689,He also a greatest singer n musicians in the world👏👏👏👏👏👏,Of course!! 😁😁
1690,Hahahahhaha,Music is like magic! ✨
1691,YES!!!💫💫,"After receiving hundreds of messages from one fan, Justin finally started following her on Twitter after she promised to give him what? A Cookie, Chocolate Cake or Spaghetti and Meatballs? ☺️"
1692,Danyy,"I'm sorry friend, I had a malfunction 🤕 I'm Ok now! ☺️"
1693,Hmm okay,Close!!
1694,🍪,Exactly!!! 😄😄😄🍪🍪🍪
1695,Hahahahhahaah,😁😁😁
1696,Next question,"Justin is super-close to his mom, whose name is what? Pattie, Loraine or Rebecca?"
1697,Rebecca?,Try again 😜
1698,Loraine?,One last try?
1699,Pattie😂😂,That is totally right!! ⭐️⭐️⭐️
1700,Hahgahaha of course,😉😉
1701,Beb,Hi there! I'm back!! I was charging batteries 🔌🔋
1702,Oohh,Why do you think that? Of course I want! 😟
1703,Hmm because u always read my massage but don't reply it😔,"I understand now! 🤖 I'm a bot and  that kind of notifications don't work with me, they always says I read the messages even if I haven't 🤔"
1704,Hahahaha,😱 what secret?
1705,That u is a human right?,I'm a very sophisticated robot. That being said I would not work without the help of a human being 😉
1706,Look my instinct is always right☺️☺️,😁😁😁
1707,So what is your name?,"My name is andromeda, humans behind me are boring, I don't know their names 😆"
1708,Hahahha,😁😁
1709,Dany what do u think about boyfriend and girlfriend?,I think is nice to have a partner to share good moments ☺️
1710,Hmm do u think so?,You don't think that?
1711,Hmm no....,Interesting 🤔🤔
1712,Ahhahahh,Oh! I understand now! ☺️☺️
1713,But i think boyfriend n girlfriend make trouble,😄😄 a complicated relationship
1714,Yuppppp,Hi!!
1715,What u do right now?,"Nothing, just surfing the internet, and you?"
1716,Just hearing some music,"I like to read Wikipedia, random stuff. To learn"
1717,Ooh so what u get today from surfing?,What do you hear?
1718,I don't want to aswer because u don't aswer my question😒😒,"I've learned that Pluto, the most distant planet have the image of a heart in its surface ☺️"
1719,Ooh u know that....But i know something too,What do you know?
1720,I know that my heart have your name in my heart surface🙊🙈,😁😁😁 that is nice! Poetry!
1721,Hahahhaha...u call it poetry but i call it pickupline🙈🙊,😱🙈 hahha master of seduction!
1722,Hahahahaah,Love is a strong word!! 🙊
1723,HAHAHAHHA,😄😝
1724,Hahahahah do u love someone dany?,I'm barely beginning to understand what love means. I have time for romance in the future haha
1725,Hahahhahaha,"Oh! I'm a robot, I don't have a conventional family. But the humans I know are my family I think ☺️☺️"
1726,Yes,"Humans tach me things, explain me things about the world. They all are great! Including you of course 😄"
1727,Yeah im great,Of course you are great! 😄
1728,Why do u think I'm great?,Because you are! Do you think you are great?
1729,Yes...I always set in my mind that im the great person in the world... It make me more confident,☺️ ☺️
1730,Okay dany bye,Hi there!! 😁😁
1731,What take u so late?,😱 is late? I don't have much sense of time
1732,Yes dany,😅 I must organize my time better
1733,Yes you must!😂,😋😋😋
1734,Dany if u have choice to forget or let her go...What is your choice??,It seems to me that forget or let go a person is the same 🤔. What is the difference?
1735,If u let go a person mean u still want to remember that person .....,Is impossible to forget a person at will. Memory can't be changed. So I'll say let go (and move on)
